name,country_iso2,ticker,source_item,source
Coca-Cola Company (The),US,KO,,DataHub S&P 500 companies
Cognizant,US,CTSH,,DataHub S&P 500 companies
CoherentCorp.,US,COHR,,DataHub S&P 500 companies
Coinbase,US,COIN,,DataHub S&P 500 companies
Colgate-Palmolive,US,CL,,DataHub S&P 500 companies
Comcast,US,CMCSA,,DataHub S&P 500 companies
Comfort Systems USA,US,FIX,,DataHub S&P 500 companies
Conagra Brands,US,CAG,,DataHub S&P 500 companies
ConocoPhillips,US,COP,,DataHub S&P 500 companies
Consolidated Edison,US,ED,,DataHub S&P 500 companies
Constellation Brands,US,STZ,,DataHub S&P 500 companies
Constellation Energy,US,CEG,,DataHub S&P 500 companies
Cooper Companies (The),US,COO,,DataHub S&P 500 companies
Copart,US,CPRT,,DataHub S&P 500 companies
CorningInc.,US,GLW,,DataHub S&P 500 companies
Corpay,US,CPAY,,DataHub S&P 500 companies
Corteva,US,CTVA,,DataHub S&P 500 companies
CoStar Group,US,CSGP,,DataHub S&P 500 companies
Costco,US,COST,,DataHub S&P 500 companies
CRHplc,US,CRH,,DataHub S&P 500 companies
CrowdStrike,US,CRWD,,DataHub S&P 500 companies
Crown Castle,US,CCI,,DataHub S&P 500 companies
CSXCorporation,US,CSX,,DataHub S&P 500 companies
Cummins,US,CMI,,DataHub S&P 500 companies
CVS Health,US,CVS,,DataHub S&P 500 companies
DanaherCorporation,US,DHR,,DataHub S&P 500 companies
Darden Restaurants,US,DRI,,DataHub S&P 500 companies
Datadog,US,DDOG,,DataHub S&P 500 companies
DaVita,US,DVA,,DataHub S&P 500 companies
Deckers Brands,US,DECK,,DataHub S&P 500 companies
Deere &Company,US,DE,,DataHub S&P 500 companies
Dell Technologies,US,DELL,,DataHub S&P 500 companies
Delta Air Lines,US,DAL,,DataHub S&P 500 companies
Devon Energy,US,DVN,,DataHub S&P 500 companies
Dexcom,US,DXCM,,DataHub S&P 500 companies
Diamondback Energy,US,FANG,,DataHub S&P 500 companies
Digital Realty,US,DLR,,DataHub S&P 500 companies
Dollar General,US,DG,,DataHub S&P 500 companies
Dollar Tree,US,DLTR,,DataHub S&P 500 companies
Dominion Energy,US,D,,DataHub S&P 500 companies
Domino's,US,DPZ,,DataHub S&P 500 companies
DoorDash,US,DASH,,DataHub S&P 500 companies
DoverCorporation,US,DOV,,DataHub S&P 500 companies
DowInc.,US,DOW,,DataHub S&P 500 companies
D. R. Horton,US,DHI,,DataHub S&P 500 companies
DTE Energy,US,DTE,,DataHub S&P 500 companies
Duke Energy,US,DUK,,DataHub S&P 500 companies
DuPont,US,DD,,DataHub S&P 500 companies
EatonCorporation,US,ETN,,DataHub S&P 500 companies
eBayInc.,US,EBAY,,DataHub S&P 500 companies
EchoStar,US,ECHO,,DataHub S&P 500 companies
Ecolab,US,ECL,,DataHub S&P 500 companies
Edison International,US,EIX,,DataHub S&P 500 companies
Edwards Lifesciences,US,EW,,DataHub S&P 500 companies
Electronic Arts,US,EA,,DataHub S&P 500 companies
Elevance Health,US,ELV,,DataHub S&P 500 companies
Emcor,US,EME,,DataHub S&P 500 companies
Emerson Electric,US,EMR,,DataHub S&P 500 companies
Entergy,US,ETR,,DataHub S&P 500 companies
EOG Resources,US,EOG,,DataHub S&P 500 companies
EQTCorporation,US,EQT,,DataHub S&P 500 companies
Equifax,US,EFX,,DataHub S&P 500 companies
Equinix,US,EQIX,,DataHub S&P 500 companies
Equity Residential,US,EQR,,DataHub S&P 500 companies
