name,country_iso2,popularity_count,source_item,source
Maryam,AZ,4,N-AZ-2-F-4,sigpwned popular-names-by-country-dataset
Fatima,AZ,5,N-AZ-2-F-5,sigpwned popular-names-by-country-dataset
Nilay,AZ,6,N-AZ-2-F-6,sigpwned popular-names-by-country-dataset
Malak,AZ,7,N-AZ-2-F-7,sigpwned popular-names-by-country-dataset
Ayla,AZ,8,N-AZ-2-F-8,sigpwned popular-names-by-country-dataset
İNci,AZ,9,N-AZ-2-F-9,sigpwned popular-names-by-country-dataset
Nuray,AZ,10,N-AZ-2-F-10,sigpwned popular-names-by-country-dataset
Sevinj,AZ,1,N-AZ-1-F-1,sigpwned popular-names-by-country-dataset
Gunel,AZ,2,N-AZ-1-F-2,sigpwned popular-names-by-country-dataset
Leyla,AZ,3,N-AZ-1-F-3,sigpwned popular-names-by-country-dataset
Aygun,AZ,4,N-AZ-1-F-4,sigpwned popular-names-by-country-dataset
Gunay,AZ,5,N-AZ-1-F-5,sigpwned popular-names-by-country-dataset
Sevda,AZ,6,N-AZ-1-F-6,sigpwned popular-names-by-country-dataset
Vusala,AZ,7,N-AZ-1-F-7,sigpwned popular-names-by-country-dataset
Konul,AZ,8,N-AZ-1-F-8,sigpwned popular-names-by-country-dataset
Aysel,AZ,9,N-AZ-1-F-9,sigpwned popular-names-by-country-dataset
Tarana,AZ,10,N-AZ-1-F-10,sigpwned popular-names-by-country-dataset
Sara,BA,1,N-BA-1-F-1,sigpwned popular-names-by-country-dataset
Merjem,BA,2,N-BA-1-F-2,sigpwned popular-names-by-country-dataset
Asja,BA,3,N-BA-1-F-3,sigpwned popular-names-by-country-dataset
Esma,BA,4,N-BA-1-F-4,sigpwned popular-names-by-country-dataset
Amina,BA,5,N-BA-1-F-5,sigpwned popular-names-by-country-dataset
Ema,BA,6,N-BA-1-F-6,sigpwned popular-names-by-country-dataset
Hana,BA,7,N-BA-1-F-7,sigpwned popular-names-by-country-dataset
Lejla,BA,8,N-BA-1-F-8,sigpwned popular-names-by-country-dataset
Lamija,BA,9,N-BA-1-F-9,sigpwned popular-names-by-country-dataset
Dalila,BA,10,N-BA-1-F-10,sigpwned popular-names-by-country-dataset
Olivia,BE,1,N-BE-1-F-1,sigpwned popular-names-by-country-dataset
Emma,BE,2,N-BE-1-F-2,sigpwned popular-names-by-country-dataset
Louise,BE,3,N-BE-1-F-3,sigpwned popular-names-by-country-dataset
Mila,BE,4,N-BE-1-F-4,sigpwned popular-names-by-country-dataset
Alice,BE,5,N-BE-1-F-5,sigpwned popular-names-by-country-dataset
Camille,BE,6,N-BE-1-F-6,sigpwned popular-names-by-country-dataset
Lina,BE,7,N-BE-1-F-7,sigpwned popular-names-by-country-dataset
Sofia,BE,8,N-BE-1-F-8,sigpwned popular-names-by-country-dataset
Ella,BE,9,N-BE-1-F-9,sigpwned popular-names-by-country-dataset
Juliette,BE,10,N-BE-1-F-10,sigpwned popular-names-by-country-dataset
Martha,BO,1,N-BO-1-F-1,sigpwned popular-names-by-country-dataset
Roxana,BO,2,N-BO-1-F-2,sigpwned popular-names-by-country-dataset
Ana Maria,BO,3,N-BO-1-F-3,sigpwned popular-names-by-country-dataset
Elizabeth,BO,4,N-BO-1-F-4,sigpwned popular-names-by-country-dataset
Sonia,BO,5,N-BO-1-F-5,sigpwned popular-names-by-country-dataset
Juana,BO,6,N-BO-1-F-6,sigpwned popular-names-by-country-dataset
Patricia,BO,7,N-BO-1-F-7,sigpwned popular-names-by-country-dataset
Lidia,BO,8,N-BO-1-F-8,sigpwned popular-names-by-country-dataset
Rosmery,BO,9,N-BO-1-F-9,sigpwned popular-names-by-country-dataset
Carmen,BO,10,N-BO-1-F-10,sigpwned popular-names-by-country-dataset
Maria,BR,1,N-BR-1-F-1,sigpwned popular-names-by-country-dataset
Ana,BR,2,N-BR-1-F-2,sigpwned popular-names-by-country-dataset
Francisca,BR,3,N-BR-1-F-3,sigpwned popular-names-by-country-dataset
AntÔNia,BR,4,N-BR-1-F-4,sigpwned popular-names-by-country-dataset
Adriana,BR,5,N-BR-1-F-5,sigpwned popular-names-by-country-dataset
Juliana,BR,6,N-BR-1-F-6,sigpwned popular-names-by-country-dataset
Marcia,BR,7,N-BR-1-F-7,sigpwned popular-names-by-country-dataset
Fernanda,BR,8,N-BR-1-F-8,sigpwned popular-names-by-country-dataset
PatrÍCia,BR,9,N-BR-1-F-9,sigpwned popular-names-by-country-dataset
Aline,BR,10,N-BR-1-F-10,sigpwned popular-names-by-country-dataset
Helena,BR,1,N-BR-2-F-1,sigpwned popular-names-by-country-dataset
Alice,BR,2,N-BR-2-F-2,sigpwned popular-names-by-country-dataset
Laura,BR,3,N-BR-2-F-3,sigpwned popular-names-by-country-dataset
Maria Alice,BR,4,N-BR-2-F-4,sigpwned popular-names-by-country-dataset
Sophia,BR,5,N-BR-2-F-5,sigpwned popular-names-by-country-dataset
Manuela,BR,6,N-BR-2-F-6,sigpwned popular-names-by-country-dataset
MaitÊ,BR,7,N-BR-2-F-7,sigpwned popular-names-by-country-dataset
Liz,BR,8,N-BR-2-F-8,sigpwned popular-names-by-country-dataset
CecÍLia,BR,9,N-BR-2-F-9,sigpwned popular-names-by-country-dataset
Isabella,BR,10,N-BR-2-F-10,sigpwned popular-names-by-country-dataset
Alisa,BY,1,N-BY-1-F-1,sigpwned popular-names-by-country-dataset
Hanna,BY,2,N-BY-1-F-2,sigpwned popular-names-by-country-dataset
Maryja,BY,3,N-BY-1-F-3,sigpwned popular-names-by-country-dataset
Safija,BY,4,N-BY-1-F-4,sigpwned popular-names-by-country-dataset
Olivia,CA,1,N-CA-1-F-1,sigpwned popular-names-by-country-dataset
Emma,CA,2,N-CA-1-F-2,sigpwned popular-names-by-country-dataset
Charlotte,CA,3,N-CA-1-F-3,sigpwned popular-names-by-country-dataset
Amelia,CA,4,N-CA-1-F-4,sigpwned popular-names-by-country-dataset
Ava,CA,5,N-CA-1-F-5,sigpwned popular-names-by-country-dataset
Sophia,CA,6,N-CA-1-F-6,sigpwned popular-names-by-country-dataset
Chloe,CA,7,N-CA-1-F-7,sigpwned popular-names-by-country-dataset
Mia,CA,8,N-CA-1-F-8,sigpwned popular-names-by-country-dataset
Mila,CA,9,N-CA-1-F-9,sigpwned popular-names-by-country-dataset
Isla,CA,10,N-CA-1-F-10,sigpwned popular-names-by-country-dataset
Alice,CA,11,N-CA-1-F-11,sigpwned popular-names-by-country-dataset
Charlie,CA,4,N-CA-2-F-4,sigpwned popular-names-by-country-dataset
Florence,CA,5,N-CA-2-F-5,sigpwned popular-names-by-country-dataset
LÉA,CA,7,N-CA-2-F-7,sigpwned popular-names-by-country-dataset
Livia,CA,8,N-CA-2-F-8,sigpwned popular-names-by-country-dataset
Rose,CA,9,N-CA-2-F-9,sigpwned popular-names-by-country-dataset
Juliette,CA,10,N-CA-2-F-10,sigpwned popular-names-by-country-dataset
Mia,CH,1,N-CH-1-F-1,sigpwned popular-names-by-country-dataset
Emma,CH,2,N-CH-1-F-2,sigpwned popular-names-by-country-dataset
Elena,CH,3,N-CH-1-F-3,sigpwned popular-names-by-country-dataset
Lina,CH,4,N-CH-1-F-4,sigpwned popular-names-by-country-dataset
Mila,CH,5,N-CH-1-F-5,sigpwned popular-names-by-country-dataset
Emilia,CH,6,N-CH-1-F-6,sigpwned popular-names-by-country-dataset
Sofia,CH,7,N-CH-1-F-7,sigpwned popular-names-by-country-dataset
Olivia,CH,8,N-CH-1-F-8,sigpwned popular-names-by-country-dataset
Nora,CH,9,N-CH-1-F-9,sigpwned popular-names-by-country-dataset
Alina,CH,10,N-CH-1-F-10,sigpwned popular-names-by-country-dataset
Emma,CL,1,N-CL-1-F-1,sigpwned popular-names-by-country-dataset
Isabella,CL,2,N-CL-1-F-2,sigpwned popular-names-by-country-dataset
SofÍA,CL,3,N-CL-1-F-3,sigpwned popular-names-by-country-dataset
Emilia,CL,4,N-CL-1-F-4,sigpwned popular-names-by-country-dataset
Julieta,CL,5,N-CL-1-F-5,sigpwned popular-names-by-country-dataset
Trinidad,CL,6,N-CL-1-F-6,sigpwned popular-names-by-country-dataset
Isidora,CL,7,N-CL-1-F-7,sigpwned popular-names-by-country-dataset
Agustina,CL,8,N-CL-1-F-8,sigpwned popular-names-by-country-dataset
Josefa,CL,9,N-CL-1-F-9,sigpwned popular-names-by-country-dataset
Mia,CL,10,N-CL-1-F-10,sigpwned popular-names-by-country-dataset
Antonella,CO,1,N-CO-1-F-1,sigpwned popular-names-by-country-dataset
Isabella,CO,2,N-CO-1-F-2,sigpwned popular-names-by-country-dataset
Luciana,CO,3,N-CO-1-F-3,sigpwned popular-names-by-country-dataset
Celeste,CO,4,N-CO-1-F-4,sigpwned popular-names-by-country-dataset
Victoria,CO,5,N-CO-1-F-5,sigpwned popular-names-by-country-dataset
Gabriela,CO,6,N-CO-1-F-6,sigpwned popular-names-by-country-dataset
Mariana,CO,7,N-CO-1-F-7,sigpwned popular-names-by-country-dataset
Julieta,CO,8,N-CO-1-F-8,sigpwned popular-names-by-country-dataset
SalomÉ,CO,9,N-CO-1-F-9,sigpwned popular-names-by-country-dataset
Guadalupe,CO,10,N-CO-1-F-10,sigpwned popular-names-by-country-dataset
EliŠKa,CZ,1,N-CZ-1-F-1,sigpwned popular-names-by-country-dataset
Anna,CZ,2,N-CZ-1-F-2,sigpwned popular-names-by-country-dataset
AdÉLa,CZ,3,N-CZ-1-F-3,sigpwned popular-names-by-country-dataset
Tereza,CZ,4,N-CZ-1-F-4,sigpwned popular-names-by-country-dataset
Sofie,CZ,5,N-CZ-1-F-5,sigpwned popular-names-by-country-dataset
Viktorie,CZ,6,N-CZ-1-F-6,sigpwned popular-names-by-country-dataset
Ema,CZ,7,N-CZ-1-F-7,sigpwned popular-names-by-country-dataset
KarolÍNa,CZ,8,N-CZ-1-F-8,sigpwned popular-names-by-country-dataset
NatÁLie,CZ,9,N-CZ-1-F-9,sigpwned popular-names-by-country-dataset
AmÁLie,CZ,10,N-CZ-1-F-10,sigpwned popular-names-by-country-dataset
Julie,CZ,11,N-CZ-1-F-11,sigpwned popular-names-by-country-dataset
Emilia,DE,1,N-DE-1-F-1,sigpwned popular-names-by-country-dataset
Mia,DE,2,N-DE-1-F-2,sigpwned popular-names-by-country-dataset
Sophia,DE,3,N-DE-1-F-3,sigpwned popular-names-by-country-dataset
Emma,DE,4,N-DE-1-F-4,sigpwned popular-names-by-country-dataset
Hannah,DE,5,N-DE-1-F-5,sigpwned popular-names-by-country-dataset
Lina,DE,6,N-DE-1-F-6,sigpwned popular-names-by-country-dataset
Mila,DE,7,N-DE-1-F-7,sigpwned popular-names-by-country-dataset
Ella,DE,8,N-DE-1-F-8,sigpwned popular-names-by-country-dataset
Leni,DE,9,N-DE-1-F-9,sigpwned popular-names-by-country-dataset
Clara,DE,10,N-DE-1-F-10,sigpwned popular-names-by-country-dataset
Ella,DK,1,N-DK-1-F-1,sigpwned popular-names-by-country-dataset
Alma,DK,2,N-DK-1-F-2,sigpwned popular-names-by-country-dataset
Nora,DK,3,N-DK-1-F-3,sigpwned popular-names-by-country-dataset
Ida,DK,4,N-DK-1-F-4,sigpwned popular-names-by-country-dataset
Freja,DK,5,N-DK-1-F-5,sigpwned popular-names-by-country-dataset
Sofia,DK,6,N-DK-1-F-6,sigpwned popular-names-by-country-dataset
Luna,DK,7,N-DK-1-F-7,sigpwned popular-names-by-country-dataset
Olivia,DK,8,N-DK-1-F-8,sigpwned popular-names-by-country-dataset
Agnes,DK,9,N-DK-1-F-9,sigpwned popular-names-by-country-dataset
Asta,DK,10,N-DK-1-F-10,sigpwned popular-names-by-country-dataset
Clara,DK,11,N-DK-1-F-11,sigpwned popular-names-by-country-dataset
Emma,DK,12,N-DK-1-F-12,sigpwned popular-names-by-country-dataset
Frida,DK,13,N-DK-1-F-13,sigpwned popular-names-by-country-dataset
Alberte,DK,14,N-DK-1-F-14,sigpwned popular-names-by-country-dataset
Imene,DZ,1,N-DZ-1-F-1,sigpwned popular-names-by-country-dataset
Sara,DZ,2,N-DZ-1-F-2,sigpwned popular-names-by-country-dataset
Yasmine,DZ,3,N-DZ-1-F-3,sigpwned popular-names-by-country-dataset
Lyna,DZ,4,N-DZ-1-F-4,sigpwned popular-names-by-country-dataset
Maria,DZ,5,N-DZ-1-F-5,sigpwned popular-names-by-country-dataset
Amina,DZ,6,N-DZ-1-F-6,sigpwned popular-names-by-country-dataset
Meriem,DZ,7,N-DZ-1-F-7,sigpwned popular-names-by-country-dataset
Karima,DZ,8,N-DZ-1-F-8,sigpwned popular-names-by-country-dataset
Melissa,DZ,9,N-DZ-1-F-9,sigpwned popular-names-by-country-dataset
Lydia,DZ,10,N-DZ-1-F-10,sigpwned popular-names-by-country-dataset
MÍA,EC,1,N-EC-1-F-1,sigpwned popular-names-by-country-dataset
Danna,EC,2,N-EC-1-F-2,sigpwned popular-names-by-country-dataset
MarÍA,EC,3,N-EC-1-F-3,sigpwned popular-names-by-country-dataset
SofÍA,EC,4,N-EC-1-F-4,sigpwned popular-names-by-country-dataset
Emma,EC,5,N-EC-1-F-5,sigpwned popular-names-by-country-dataset
Emily,EC,6,N-EC-1-F-6,sigpwned popular-names-by-country-dataset
Victoria,EC,7,N-EC-1-F-7,sigpwned popular-names-by-country-dataset
LÍA,EC,8,N-EC-1-F-8,sigpwned popular-names-by-country-dataset
Aitana,EC,9,N-EC-1-F-9,sigpwned popular-names-by-country-dataset
Isabella,EC,10,N-EC-1-F-10,sigpwned popular-names-by-country-dataset
Sofia,EE,1,N-EE-1-F-1,sigpwned popular-names-by-country-dataset
Mia,EE,2,N-EE-1-F-2,sigpwned popular-names-by-country-dataset
Eva,EE,3,N-EE-1-F-3,sigpwned popular-names-by-country-dataset
Lenna,EE,4,N-EE-1-F-4,sigpwned popular-names-by-country-dataset
Marta,EE,5,N-EE-1-F-5,sigpwned popular-names-by-country-dataset
Amelia,EE,6,N-EE-1-F-6,sigpwned popular-names-by-country-dataset
Elli,EE,7,N-EE-1-F-7,sigpwned popular-names-by-country-dataset
Maria,EE,8,N-EE-1-F-8,sigpwned popular-names-by-country-dataset
Sandra,EE,9,N-EE-1-F-9,sigpwned popular-names-by-country-dataset
Alisa,EE,10,N-EE-1-F-10,sigpwned popular-names-by-country-dataset
Mary,EG,1,N-EG-1-F-1,sigpwned popular-names-by-country-dataset
