name,source_item,source
Coil Taper,,dariusk/corpora occupations
Coil Winder,,dariusk/corpora occupations
Coin Machine Servicer,,dariusk/corpora occupations
Commercial Diver,,dariusk/corpora occupations
Commercial Pilot,,dariusk/corpora occupations
Commodities Sales Agent,,dariusk/corpora occupations
Communications Equipment Operator,,dariusk/corpora occupations
Communications Teacher,,dariusk/corpora occupations
Community Association Manager,,dariusk/corpora occupations
Community Service Manager,,dariusk/corpora occupations
Compensation And Benefits Manager,,dariusk/corpora occupations
Compliance Officer,,dariusk/corpora occupations
Composer,,dariusk/corpora occupations
Computer Hardware Engineer,,dariusk/corpora occupations
Computer Network Architect,,dariusk/corpora occupations
Computer Operator,,dariusk/corpora occupations
Computer Programmer,,dariusk/corpora occupations
Computer Science Teacher,,dariusk/corpora occupations
Computer Support Specialist,,dariusk/corpora occupations
Computer Systems Administrator,,dariusk/corpora occupations
Computer Systems Analyst,,dariusk/corpora occupations
Concierge,,dariusk/corpora occupations
Conciliator,,dariusk/corpora occupations
Concrete Finisher,,dariusk/corpora occupations
Conservation Science Teacher,,dariusk/corpora occupations
Conservation Scientist,,dariusk/corpora occupations
Conservation Worker,,dariusk/corpora occupations
Conservator,,dariusk/corpora occupations
Construction Inspector,,dariusk/corpora occupations
Construction Manager,,dariusk/corpora occupations
Construction Painter,,dariusk/corpora occupations
Construction Worker,,dariusk/corpora occupations
Continuous Mining Machine Operator,,dariusk/corpora occupations
Convention Planner,,dariusk/corpora occupations
Conveyor Operator,,dariusk/corpora occupations
Cook,,dariusk/corpora occupations
Cooling Equipment Operator,,dariusk/corpora occupations
Copy Marker,,dariusk/corpora occupations
Correctional Officer,,dariusk/corpora occupations
Correctional Treatment Specialist,,dariusk/corpora occupations
Correspondence Clerk,,dariusk/corpora occupations
Correspondent,,dariusk/corpora occupations
Cosmetologist,,dariusk/corpora occupations
Cost Estimator,,dariusk/corpora occupations
Costume Attendant,,dariusk/corpora occupations
Counseling Psychologist,,dariusk/corpora occupations
Counselor,,dariusk/corpora occupations
Courier,,dariusk/corpora occupations
Court Reporter,,dariusk/corpora occupations
Craft Artist,,dariusk/corpora occupations
Crane Operator,,dariusk/corpora occupations
Credit Analyst,,dariusk/corpora occupations
Credit Checker,,dariusk/corpora occupations
Credit Counselor,,dariusk/corpora occupations
Criminal Investigator,,dariusk/corpora occupations
Criminal Justice Teacher,,dariusk/corpora occupations
Crossing Guard,,dariusk/corpora occupations
Curator,,dariusk/corpora occupations
Custom Sewer,,dariusk/corpora occupations
Customer Service Representative,,dariusk/corpora occupations
Cutter,,dariusk/corpora occupations
Cutting Machine Operator,,dariusk/corpora occupations
Dancer,,dariusk/corpora occupations
Data Entry Keyer,,dariusk/corpora occupations
Database Administrator,,dariusk/corpora occupations
Decorating Worker,,dariusk/corpora occupations
Delivery Services Driver,,dariusk/corpora occupations
Demonstrator,,dariusk/corpora occupations
Dental Assistant,,dariusk/corpora occupations
Dental Hygienist,,dariusk/corpora occupations
Dental Laboratory Technician,,dariusk/corpora occupations
Dentist,,dariusk/corpora occupations
Dermatologist,,dariusk/corpora occupations
Derrick Operator,,dariusk/corpora occupations
Designer,,dariusk/corpora occupations
Desktop Publisher,,dariusk/corpora occupations
Detective,,dariusk/corpora occupations
Developer,,dariusk/corpora occupations
Diagnostic Medical Sonographer,,dariusk/corpora occupations
Die Maker,,dariusk/corpora occupations
Diesel Engine Specialist,,dariusk/corpora occupations
Dietetic Technician,,dariusk/corpora occupations
Dietitian,,dariusk/corpora occupations
Dinkey Operator,,dariusk/corpora occupations
Director,,dariusk/corpora occupations
Dishwasher,,dariusk/corpora occupations
Dispatcher,,dariusk/corpora occupations
Dj,,dariusk/corpora occupations
Doctor,,dariusk/corpora occupations
Door-To-Door Sales Worker,,dariusk/corpora occupations
Drafter,,dariusk/corpora occupations
Dragline Operator,,dariusk/corpora occupations
Drama Teacher,,dariusk/corpora occupations
Dredge Operator,,dariusk/corpora occupations
Dressing Room Attendant,,dariusk/corpora occupations
Dressmaker,,dariusk/corpora occupations
Drier Operator,,dariusk/corpora occupations
Drilling Machine Tool Operator,,dariusk/corpora occupations
Dry-Cleaning Worker,,dariusk/corpora occupations
Drywall Installer,,dariusk/corpora occupations
Dyeing Machine Operator,,dariusk/corpora occupations
Earth Driller,,dariusk/corpora occupations
Economics Teacher,,dariusk/corpora occupations
Economist,,dariusk/corpora occupations
Editor,,dariusk/corpora occupations
Education Administrator,,dariusk/corpora occupations
Electric Motor Repairer,,dariusk/corpora occupations
Electrical Electronics Drafter,,dariusk/corpora occupations
Electrical Engineer,,dariusk/corpora occupations
Electrical Equipment Assembler,,dariusk/corpora occupations
Electrical Installer,,dariusk/corpora occupations
Electrical Power-Line Installer,,dariusk/corpora occupations
Electrician,,dariusk/corpora occupations
Electro-Mechanical Technician,,dariusk/corpora occupations
Elementary School Teacher,,dariusk/corpora occupations
Elevator Installer,,dariusk/corpora occupations
Elevator Repairer,,dariusk/corpora occupations
Embalmer,,dariusk/corpora occupations
Emergency Management Director,,dariusk/corpora occupations
Emergency Medical Technician,,dariusk/corpora occupations
Engine Assembler,,dariusk/corpora occupations
Engineer,,dariusk/corpora occupations
Engineering Manager,,dariusk/corpora occupations
Engineering Teacher,,dariusk/corpora occupations
English Language Teacher,,dariusk/corpora occupations
Engraver,,dariusk/corpora occupations
Entertainment Attendant,,dariusk/corpora occupations
Environmental Engineer,,dariusk/corpora occupations
Environmental Science Teacher,,dariusk/corpora occupations
Environmental Scientist,,dariusk/corpora occupations
Epidemiologist,,dariusk/corpora occupations
Escort,,dariusk/corpora occupations
Etcher,,dariusk/corpora occupations
Event Planner,,dariusk/corpora occupations
Excavating Operator,,dariusk/corpora occupations
Executive Administrative Assistant,,dariusk/corpora occupations
Executive Secretary,,dariusk/corpora occupations
Exhibit Designer,,dariusk/corpora occupations
Expediting Clerk,,dariusk/corpora occupations
Explosives Worker,,dariusk/corpora occupations
Extraction Worker,,dariusk/corpora occupations
Fabric Mender,,dariusk/corpora occupations
Fabric Patternmaker,,dariusk/corpora occupations
Fabricator,,dariusk/corpora occupations
Faller,,dariusk/corpora occupations
Family Practitioner,,dariusk/corpora occupations
Family Social Worker,,dariusk/corpora occupations
Family Therapist,,dariusk/corpora occupations
Farm Advisor,,dariusk/corpora occupations
Farm Equipment Mechanic,,dariusk/corpora occupations
Farm Labor Contractor,,dariusk/corpora occupations
Farmer,,dariusk/corpora occupations
Farmworker,,dariusk/corpora occupations
Fashion Designer,,dariusk/corpora occupations
Fast Food Cook,,dariusk/corpora occupations
Fence Erector,,dariusk/corpora occupations
Fiberglass Fabricator,,dariusk/corpora occupations
Fiberglass Laminator,,dariusk/corpora occupations
File Clerk,,dariusk/corpora occupations
Filling Machine Operator,,dariusk/corpora occupations
Film And Video Editor,,dariusk/corpora occupations
Financial Analyst,,dariusk/corpora occupations
Financial Examiner,,dariusk/corpora occupations
Financial Manager,,dariusk/corpora occupations
Financial Services Sales Agent,,dariusk/corpora occupations
Fine Artist,,dariusk/corpora occupations
Fire Alarm System Installer,,dariusk/corpora occupations
Fire Dispatcher,,dariusk/corpora occupations
Fire Inspector,,dariusk/corpora occupations
Fire Investigator,,dariusk/corpora occupations
Firefighter,,dariusk/corpora occupations
Fish And Game Warden,,dariusk/corpora occupations
