name,source_item,source
Pesticide Handler,,dariusk/corpora occupations
Pesticide Sprayer,,dariusk/corpora occupations
Petroleum Engineer,,dariusk/corpora occupations
Petroleum Gauger,,dariusk/corpora occupations
Petroleum Pump System Operator,,dariusk/corpora occupations
Petroleum Refinery Operator,,dariusk/corpora occupations
Petroleum Technician,,dariusk/corpora occupations
Pharmacist,,dariusk/corpora occupations
Pharmacy Aide,,dariusk/corpora occupations
Pharmacy Technician,,dariusk/corpora occupations
Philosophy Teacher,,dariusk/corpora occupations
Photogrammetrist,,dariusk/corpora occupations
Photographer,,dariusk/corpora occupations
Photographic Process Worker,,dariusk/corpora occupations
Photographic Processing Machine Operator,,dariusk/corpora occupations
Physical Therapist Aide,,dariusk/corpora occupations
Physical Therapist Assistant,,dariusk/corpora occupations
Physical Therapist,,dariusk/corpora occupations
Physician Assistant,,dariusk/corpora occupations
Physician,,dariusk/corpora occupations
Physicist,,dariusk/corpora occupations
Physics Teacher,,dariusk/corpora occupations
Pile-Driver Operator,,dariusk/corpora occupations
Pipefitter,,dariusk/corpora occupations
Pipelayer,,dariusk/corpora occupations
Planing Machine Operator,,dariusk/corpora occupations
Planning Clerk,,dariusk/corpora occupations
Plant Operator,,dariusk/corpora occupations
Plant Scientist,,dariusk/corpora occupations
Plasterer,,dariusk/corpora occupations
Plastic Patternmaker,,dariusk/corpora occupations
Plastic Worker,,dariusk/corpora occupations
Plumber,,dariusk/corpora occupations
Podiatrist,,dariusk/corpora occupations
Police Dispatcher,,dariusk/corpora occupations
Police Officer,,dariusk/corpora occupations
Policy Processing Clerk,,dariusk/corpora occupations
Political Science Teacher,,dariusk/corpora occupations
Political Scientist,,dariusk/corpora occupations
Postal Service Clerk,,dariusk/corpora occupations
Postal Service Mail Carrier,,dariusk/corpora occupations
Postal Service Mail Processing Machine Operator,,dariusk/corpora occupations
Postal Service Mail Processor,,dariusk/corpora occupations
Postal Service Mail Sorter,,dariusk/corpora occupations
Postmaster,,dariusk/corpora occupations
Postsecondary Teacher,,dariusk/corpora occupations
Poultry Cutter,,dariusk/corpora occupations
Poultry Trimmer,,dariusk/corpora occupations
Power Dispatcher,,dariusk/corpora occupations
Power Distributor,,dariusk/corpora occupations
Power Plant Operator,,dariusk/corpora occupations
Power Tool Repairer,,dariusk/corpora occupations
Precious Stone Worker,,dariusk/corpora occupations
Precision Instrument Repairer,,dariusk/corpora occupations
Prepress Technician,,dariusk/corpora occupations
Preschool Teacher,,dariusk/corpora occupations
Priest,,dariusk/corpora occupations
Print Binding Worker,,dariusk/corpora occupations
Printing Press Operator,,dariusk/corpora occupations
Private Detective,,dariusk/corpora occupations
Probation Officer,,dariusk/corpora occupations
Procurement Clerk,,dariusk/corpora occupations
Producer,,dariusk/corpora occupations
Product Promoter,,dariusk/corpora occupations
Product Manager,,dariusk/corpora occupations
Production Clerk,,dariusk/corpora occupations
Production Occupation,,dariusk/corpora occupations
Proofreader,,dariusk/corpora occupations
Property Manager,,dariusk/corpora occupations
Prosthetist,,dariusk/corpora occupations
Prosthodontist,,dariusk/corpora occupations
Psychiatric Aide,,dariusk/corpora occupations
Psychiatric Technician,,dariusk/corpora occupations
Psychiatrist,,dariusk/corpora occupations
Psychologist,,dariusk/corpora occupations
Psychology Teacher,,dariusk/corpora occupations
Public Relations Manager,,dariusk/corpora occupations
Public Relations Specialist,,dariusk/corpora occupations
Pump Operator,,dariusk/corpora occupations
Purchasing Agent,,dariusk/corpora occupations
Purchasing Manager,,dariusk/corpora occupations
Radiation Therapist,,dariusk/corpora occupations
Radio Announcer,,dariusk/corpora occupations
Radio Equipment Installer,,dariusk/corpora occupations
Radio Operator,,dariusk/corpora occupations
Radiologic Technician,,dariusk/corpora occupations
Radiologic Technologist,,dariusk/corpora occupations
Rail Car Repairer,,dariusk/corpora occupations
Rail Transportation Worker,,dariusk/corpora occupations
Rail Yard Engineer,,dariusk/corpora occupations
Rail-Track Laying Equipment Operator,,dariusk/corpora occupations
Railroad Brake Operator,,dariusk/corpora occupations
Railroad Conductor,,dariusk/corpora occupations
Railroad Police,,dariusk/corpora occupations
Rancher,,dariusk/corpora occupations
Real Estate Appraiser,,dariusk/corpora occupations
Real Estate Broker,,dariusk/corpora occupations
Real Estate Manager,,dariusk/corpora occupations
Real Estate Sales Agent,,dariusk/corpora occupations
Receiving Clerk,,dariusk/corpora occupations
Receptionist,,dariusk/corpora occupations
Record Clerk,,dariusk/corpora occupations
Recreation Teacher,,dariusk/corpora occupations
Recreation Worker,,dariusk/corpora occupations
Recreational Therapist,,dariusk/corpora occupations
Recreational Vehicle Service Technician,,dariusk/corpora occupations
Recyclable Material Collector,,dariusk/corpora occupations
Referee,,dariusk/corpora occupations
Refractory Materials Repairer,,dariusk/corpora occupations
Refrigeration Installer,,dariusk/corpora occupations
Refrigeration Mechanic,,dariusk/corpora occupations
Refuse Collector,,dariusk/corpora occupations
Regional Planner,,dariusk/corpora occupations
Registered Nurse,,dariusk/corpora occupations
Rehabilitation Counselor,,dariusk/corpora occupations
Reinforcing Iron Worker,,dariusk/corpora occupations
Reinforcing Rebar Worker,,dariusk/corpora occupations
Religion Teacher,,dariusk/corpora occupations
Religious Activities Director,,dariusk/corpora occupations
Religious Worker,,dariusk/corpora occupations
Rental Clerk,,dariusk/corpora occupations
Repair Worker,,dariusk/corpora occupations
Reporter,,dariusk/corpora occupations
Residential Advisor,,dariusk/corpora occupations
Resort Desk Clerk,,dariusk/corpora occupations
Respiratory Therapist,,dariusk/corpora occupations
Respiratory Therapy Technician,,dariusk/corpora occupations
Retail Buyer,,dariusk/corpora occupations
Retail Salesperson,,dariusk/corpora occupations
Revenue Agent,,dariusk/corpora occupations
Rigger,,dariusk/corpora occupations
Rock Splitter,,dariusk/corpora occupations
Rolling Machine Tender,,dariusk/corpora occupations
Roof Bolter,,dariusk/corpora occupations
Roofer,,dariusk/corpora occupations
Rotary Drill Operator,,dariusk/corpora occupations
Roustabout,,dariusk/corpora occupations
Safe Repairer,,dariusk/corpora occupations
Sailor,,dariusk/corpora occupations
Sales Engineer,,dariusk/corpora occupations
Sales Manager,,dariusk/corpora occupations
Sales Representative,,dariusk/corpora occupations
Sampler,,dariusk/corpora occupations
Sawing Machine Operator,,dariusk/corpora occupations
Scaler,,dariusk/corpora occupations
School Bus Driver,,dariusk/corpora occupations
School Psychologist,,dariusk/corpora occupations
School Social Worker,,dariusk/corpora occupations
Scout Leader,,dariusk/corpora occupations
Sculptor,,dariusk/corpora occupations
Secondary Education Teacher,,dariusk/corpora occupations
Secondary School Teacher,,dariusk/corpora occupations
Secretary,,dariusk/corpora occupations
Securities Sales Agent,,dariusk/corpora occupations
Security Guard,,dariusk/corpora occupations
Security System Installer,,dariusk/corpora occupations
Segmental Paver,,dariusk/corpora occupations
Self-Enrichment Education Teacher,,dariusk/corpora occupations
Semiconductor Processor,,dariusk/corpora occupations
Septic Tank Servicer,,dariusk/corpora occupations
Set Designer,,dariusk/corpora occupations
Sewer Pipe Cleaner,,dariusk/corpora occupations
Sewing Machine Operator,,dariusk/corpora occupations
Shampooer,,dariusk/corpora occupations
Shaper,,dariusk/corpora occupations
Sheet Metal Worker,,dariusk/corpora occupations
Sheriff'S Patrol Officer,,dariusk/corpora occupations
Ship Captain,,dariusk/corpora occupations
Ship Engineer,,dariusk/corpora occupations
Ship Loader,,dariusk/corpora occupations
Shipmate,,dariusk/corpora occupations
Shipping Clerk,,dariusk/corpora occupations
Shoe Machine Operator,,dariusk/corpora occupations
Shoe Worker,,dariusk/corpora occupations
Short Order Cook,,dariusk/corpora occupations
Signal Operator,,dariusk/corpora occupations
Signal Repairer,,dariusk/corpora occupations
Singer,,dariusk/corpora occupations
Ski Patrol,,dariusk/corpora occupations
Skincare Specialist,,dariusk/corpora occupations
Slaughterer,,dariusk/corpora occupations
Slicing Machine Tender,,dariusk/corpora occupations
Slot Supervisor,,dariusk/corpora occupations
Social Science Research Assistant,,dariusk/corpora occupations
Social Sciences Teacher,,dariusk/corpora occupations
Social Scientist,,dariusk/corpora occupations
Social Service Assistant,,dariusk/corpora occupations
Social Service Manager,,dariusk/corpora occupations
Social Work Teacher,,dariusk/corpora occupations
Social Worker,,dariusk/corpora occupations
Sociologist,,dariusk/corpora occupations
Sociology Teacher,,dariusk/corpora occupations
Software Developer,,dariusk/corpora occupations
Software Engineer,,dariusk/corpora occupations
Soil Scientist,,dariusk/corpora occupations
Solderer,,dariusk/corpora occupations
Sorter,,dariusk/corpora occupations
Sound Engineering Technician,,dariusk/corpora occupations
Space Scientist,,dariusk/corpora occupations
Special Education Teacher,,dariusk/corpora occupations
Speech-Language Pathologist,,dariusk/corpora occupations
Sports Book Runner,,dariusk/corpora occupations
Sports Entertainer,,dariusk/corpora occupations
Sports Performer,,dariusk/corpora occupations
Stationary Engineer,,dariusk/corpora occupations
Statistical Assistant,,dariusk/corpora occupations
Statistician,,dariusk/corpora occupations
Steamfitter,,dariusk/corpora occupations
Stock Clerk,,dariusk/corpora occupations
Stock Mover,,dariusk/corpora occupations
Stonemason,,dariusk/corpora occupations
Street Vendor,,dariusk/corpora occupations
Streetcar Operator,,dariusk/corpora occupations
Structural Iron Worker,,dariusk/corpora occupations
Structural Metal Fabricator,,dariusk/corpora occupations
Structural Metal Fitter,,dariusk/corpora occupations
Structural Steel Worker,,dariusk/corpora occupations
Stucco Mason,,dariusk/corpora occupations
Substance Abuse Counselor,,dariusk/corpora occupations
Substance Abuse Social Worker,,dariusk/corpora occupations
Subway Operator,,dariusk/corpora occupations
Surfacing Equipment Operator,,dariusk/corpora occupations
Surgeon,,dariusk/corpora occupations
Surgical Technologist,,dariusk/corpora occupations
Survey Researcher,,dariusk/corpora occupations
Surveying Technician,,dariusk/corpora occupations
Surveyor,,dariusk/corpora occupations
Switch Operator,,dariusk/corpora occupations
Switchboard Operator,,dariusk/corpora occupations
Tailor,,dariusk/corpora occupations
Tamping Equipment Operator,,dariusk/corpora occupations
Tank Car Loader,,dariusk/corpora occupations
Taper,,dariusk/corpora occupations
Tax Collector,,dariusk/corpora occupations
Tax Examiner,,dariusk/corpora occupations
Tax Preparer,,dariusk/corpora occupations
Taxi Driver,,dariusk/corpora occupations
Teacher Assistant,,dariusk/corpora occupations
Teacher,,dariusk/corpora occupations
Team Assembler,,dariusk/corpora occupations
Technical Writer,,dariusk/corpora occupations
Telecommunications Equipment Installer,,dariusk/corpora occupations
Telemarketer,,dariusk/corpora occupations
Telephone Operator,,dariusk/corpora occupations
Television Announcer,,dariusk/corpora occupations
Teller,,dariusk/corpora occupations
Terrazzo Finisher,,dariusk/corpora occupations
Terrazzo Worker,,dariusk/corpora occupations
Tester,,dariusk/corpora occupations
Textile Bleaching Operator,,dariusk/corpora occupations
Textile Cutting Machine Setter,,dariusk/corpora occupations
Textile Knitting Machine Setter,,dariusk/corpora occupations
Textile Presser,,dariusk/corpora occupations
Textile Worker,,dariusk/corpora occupations
Therapist,,dariusk/corpora occupations
Ticket Agent,,dariusk/corpora occupations
Ticket Taker,,dariusk/corpora occupations
Tile Setter,,dariusk/corpora occupations
Timekeeping Clerk,,dariusk/corpora occupations
Timing Device Assembler,,dariusk/corpora occupations
Tire Builder,,dariusk/corpora occupations
Tire Changer,,dariusk/corpora occupations
Tire Repairer,,dariusk/corpora occupations
Title Abstractor,,dariusk/corpora occupations
Title Examiner,,dariusk/corpora occupations
Title Searcher,,dariusk/corpora occupations
Tobacco Roasting Machine Operator,,dariusk/corpora occupations
Tool Filer,,dariusk/corpora occupations
Tool Grinder,,dariusk/corpora occupations
Tool Maker,,dariusk/corpora occupations
Tool Sharpener,,dariusk/corpora occupations
Tour Guide,,dariusk/corpora occupations
Tower Equipment Installer,,dariusk/corpora occupations
Tower Operator,,dariusk/corpora occupations
Track Switch Repairer,,dariusk/corpora occupations
Tractor Operator,,dariusk/corpora occupations
Tractor-Trailer Truck Driver,,dariusk/corpora occupations
Traffic Clerk,,dariusk/corpora occupations
Traffic Technician,,dariusk/corpora occupations
Training And Development Manager,,dariusk/corpora occupations
Training And Development Specialist,,dariusk/corpora occupations
Transit Police,,dariusk/corpora occupations
Translator,,dariusk/corpora occupations
Transportation Equipment Painter,,dariusk/corpora occupations
Transportation Inspector,,dariusk/corpora occupations
Transportation Security Screener,,dariusk/corpora occupations
Transportation Worker,,dariusk/corpora occupations
Trapper,,dariusk/corpora occupations
Travel Agent,,dariusk/corpora occupations
Travel Clerk,,dariusk/corpora occupations
Travel Guide,,dariusk/corpora occupations
Tree Pruner,,dariusk/corpora occupations
Tree Trimmer,,dariusk/corpora occupations
Trimmer,,dariusk/corpora occupations
Truck Loader,,dariusk/corpora occupations
Truck Mechanic,,dariusk/corpora occupations
Tuner,,dariusk/corpora occupations
Turning Machine Tool Operator,,dariusk/corpora occupations
Tutor,,dariusk/corpora occupations
Typist,,dariusk/corpora occupations
Umpire,,dariusk/corpora occupations
Undertaker,,dariusk/corpora occupations
Upholsterer,,dariusk/corpora occupations
Urban Planner,,dariusk/corpora occupations
Usher,,dariusk/corpora occupations
Ux Designer,,dariusk/corpora occupations
Valve Installer,,dariusk/corpora occupations
Vending Machine Servicer,,dariusk/corpora occupations
Veterinarian,,dariusk/corpora occupations
Veterinary Assistant,,dariusk/corpora occupations
Veterinary Technician,,dariusk/corpora occupations
Vocational Counselor,,dariusk/corpora occupations
Vocational Education Teacher,,dariusk/corpora occupations
Waiter,,dariusk/corpora occupations
Waitress,,dariusk/corpora occupations
Watch Repairer,,dariusk/corpora occupations
Water Treatment Plant Operator,,dariusk/corpora occupations
Weaving Machine Setter,,dariusk/corpora occupations
Web Developer,,dariusk/corpora occupations
Weigher,,dariusk/corpora occupations
Welder,,dariusk/corpora occupations
Wellhead Pumper,,dariusk/corpora occupations
Wholesale Buyer,,dariusk/corpora occupations
Wildlife Biologist,,dariusk/corpora occupations
Window Trimmer,,dariusk/corpora occupations
Wood Patternmaker,,dariusk/corpora occupations
Woodworker,,dariusk/corpora occupations
Word Processor,,dariusk/corpora occupations
Writer,,dariusk/corpora occupations
Yardmaster,,dariusk/corpora occupations
Zoologist,,dariusk/corpora occupations
