name,iso6391,iso6392,source_item,source
Extremaduran,,ext,,umpirsky/language-list
Fang,,fan,,umpirsky/language-list
Fanti,,fat,,umpirsky/language-list
Faroese,fo,,,umpirsky/language-list
Fiji Hindi,,hif,,umpirsky/language-list
Fijian,fj,,,umpirsky/language-list
Filipino,,fil,,umpirsky/language-list
Finnish,fi,,,umpirsky/language-list
Flemish,,,,umpirsky/language-list
Fon,,fon,,umpirsky/language-list
Frafra,,gur,,umpirsky/language-list
French,fr,,,umpirsky/language-list
Friulian,,fur,,umpirsky/language-list
Fulah,ff,,,umpirsky/language-list
Ga,,gaa,,umpirsky/language-list
Gagauz,,gag,,umpirsky/language-list
Galician,gl,,,umpirsky/language-list
Gan Chinese,,gan,,umpirsky/language-list
Ganda,lg,,,umpirsky/language-list
Gayo,,gay,,umpirsky/language-list
Gbaya,,gba,,umpirsky/language-list
Geez,,gez,,umpirsky/language-list
Georgian,ka,,,umpirsky/language-list
German,de,,,umpirsky/language-list
Gheg Albanian,,aln,,umpirsky/language-list
Ghomala,,bbj,,umpirsky/language-list
Gilaki,,glk,,umpirsky/language-list
Gilbertese,,gil,,umpirsky/language-list
Goan Konkani,,gom,,umpirsky/language-list
Gondi,,gon,,umpirsky/language-list
Gorontalo,,gor,,umpirsky/language-list
Gothic,,got,,umpirsky/language-list
Grebo,,grb,,umpirsky/language-list
Greek,el,,,umpirsky/language-list
Guarani,gn,,,umpirsky/language-list
Gujarati,gu,,,umpirsky/language-list
Gusii,,guz,,umpirsky/language-list
GwichʼIn,,gwi,,umpirsky/language-list
Haida,,hai,,umpirsky/language-list
Haitian,ht,,,umpirsky/language-list
Hakka Chinese,,hak,,umpirsky/language-list
Hausa,ha,,,umpirsky/language-list
Hawaiian,,haw,,umpirsky/language-list
Hebrew,he,,,umpirsky/language-list
Herero,hz,,,umpirsky/language-list
Hiligaynon,,hil,,umpirsky/language-list
Hindi,hi,,,umpirsky/language-list
Hiri Motu,ho,,,umpirsky/language-list
Hittite,,hit,,umpirsky/language-list
Hmong,,hmn,,umpirsky/language-list
Hungarian,hu,,,umpirsky/language-list
Hupa,,hup,,umpirsky/language-list
Iban,,iba,,umpirsky/language-list
Ibibio,,ibb,,umpirsky/language-list
Icelandic,is,,,umpirsky/language-list
Ido,io,,,umpirsky/language-list
Igbo,ig,,,umpirsky/language-list
Iloko,,ilo,,umpirsky/language-list
Inari Sami,,smn,,umpirsky/language-list
Indonesian,id,,,umpirsky/language-list
Ingrian,,izh,,umpirsky/language-list
Ingush,,inh,,umpirsky/language-list
Interlingua,ia,,,umpirsky/language-list
Interlingue,ie,,,umpirsky/language-list
Inuktitut,iu,,,umpirsky/language-list
Inupiaq,ik,,,umpirsky/language-list
Irish,ga,,,umpirsky/language-list
Italian,it,,,umpirsky/language-list
Jamaican Creole English,,jam,,umpirsky/language-list
Japanese,ja,,,umpirsky/language-list
Javanese,jv,,,umpirsky/language-list
Jju,,kaj,,umpirsky/language-list
Jola-Fonyi,,dyo,,umpirsky/language-list
Judeo-Arabic,,jrb,,umpirsky/language-list
Judeo-Persian,,jpr,,umpirsky/language-list
Jutish,,jut,,umpirsky/language-list
Kabardian,,kbd,,umpirsky/language-list
Kabuverdianu,,kea,,umpirsky/language-list
Kabyle,,kab,,umpirsky/language-list
Kachin,,kac,,umpirsky/language-list
Kaingang,,kgp,,umpirsky/language-list
Kako,,kkj,,umpirsky/language-list
Kalaallisut,kl,,,umpirsky/language-list
Kalenjin,,kln,,umpirsky/language-list
Kalmyk,,xal,,umpirsky/language-list
Kamba,,kam,,umpirsky/language-list
Kanembu,,kbl,,umpirsky/language-list
Kannada,kn,,,umpirsky/language-list
Kanuri,kr,,,umpirsky/language-list
Kara-Kalpak,,kaa,,umpirsky/language-list
Karachay-Balkar,,krc,,umpirsky/language-list
Karelian,,krl,,umpirsky/language-list
Kashmiri,ks,,,umpirsky/language-list
Kashubian,,csb,,umpirsky/language-list
Kawi,,kaw,,umpirsky/language-list
Kazakh,kk,,,umpirsky/language-list
Kenyang,,ken,,umpirsky/language-list
Khasi,,kha,,umpirsky/language-list
Khmer,km,,,umpirsky/language-list
Khotanese,,kho,,umpirsky/language-list
Khowar,,khw,,umpirsky/language-list
Kikuyu,ki,,,umpirsky/language-list
Kimbundu,,kmb,,umpirsky/language-list
Kinaray-A,,krj,,umpirsky/language-list
Kinyarwanda,rw,,,umpirsky/language-list
Kirmanjki,,kiu,,umpirsky/language-list
Klingon,,tlh,,umpirsky/language-list
Kom,,bkm,,umpirsky/language-list
Komi,kv,,,umpirsky/language-list
Komi-Permyak,,koi,,umpirsky/language-list
Kongo,kg,,,umpirsky/language-list
Konkani,,kok,,umpirsky/language-list
Korean,ko,,,umpirsky/language-list
Koro,,kfo,,umpirsky/language-list
Kosraean,,kos,,umpirsky/language-list
Kotava,,avk,,umpirsky/language-list
Koyra Chiini,,khq,,umpirsky/language-list
Koyraboro Senni,,ses,,umpirsky/language-list
Kpelle,,kpe,,umpirsky/language-list
Krio,,kri,,umpirsky/language-list
Kuanyama,kj,,,umpirsky/language-list
Kumyk,,kum,,umpirsky/language-list
Kurdish,ku,,,umpirsky/language-list
Kurukh,,kru,,umpirsky/language-list
Kutenai,,kut,,umpirsky/language-list
Kwasio,,nmg,,umpirsky/language-list
Kyrgyz,ky,,,umpirsky/language-list
KʼIcheʼ,,quc,,umpirsky/language-list
Ladino,,lad,,umpirsky/language-list
Lahnda,,lah,,umpirsky/language-list
Lakota,,lkt,,umpirsky/language-list
Lamba,,lam,,umpirsky/language-list
Langi,,lag,,umpirsky/language-list
Lao,lo,,,umpirsky/language-list
Latgalian,,ltg,,umpirsky/language-list
Latin,la,,,umpirsky/language-list
Latin American Spanish,,,,umpirsky/language-list
Latvian,lv,,,umpirsky/language-list
Laz,,lzz,,umpirsky/language-list
Lezghian,,lez,,umpirsky/language-list
Ligurian,,lij,,umpirsky/language-list
Limburgish,li,,,umpirsky/language-list
Lingala,ln,,,umpirsky/language-list
Lingua Franca Nova,,lfn,,umpirsky/language-list
Literary Chinese,,lzh,,umpirsky/language-list
Lithuanian,lt,,,umpirsky/language-list
Livonian,,liv,,umpirsky/language-list
Lojban,,jbo,,umpirsky/language-list
Lombard,,lmo,,umpirsky/language-list
Low German,,nds,,umpirsky/language-list
Lower Silesian,,sli,,umpirsky/language-list
Lower Sorbian,,dsb,,umpirsky/language-list
Lozi,,loz,,umpirsky/language-list
Luba-Katanga,lu,,,umpirsky/language-list
Luba-Lulua,,lua,,umpirsky/language-list
Luiseno,,lui,,umpirsky/language-list
Lule Sami,,smj,,umpirsky/language-list
